CountermeasureID,Countermeasure,Key Stakeholder,Benefit-cost ratio,CMF1,CMF1 Link,Sev1,AreaType1,CrashType1,StarRating1,CMF2,CMF2 Link,Sev2,AreaType2,CrashType2,StarRating2,Short Description,Countermeasure 1,Countermeasure 2,Countermeasure 3,How and where to apply,Use in a Safe System Approach,Proactive Implementation,Emphasis area,Target Crash,Contributing Factors,SSA Pillars,SSA Hierarchy,AASHTO,NCHRP 500 Series Objective,N500St,Road Type,Service Life,Cost,Countermeasure Staus_OnlyforTool,Keyword_OnlyForTool
treat097,Improve street lighting illuminance and uniformity,"State DOTs, MPOs, utility companies, engineering consultants, community associations, safety advocacy groups.",xx,0.581,CMF11027,All,Urban,All,4,0.679,CMF11026,All,Urban,All,4,"Improving street lighting illuminance and uniformity increases nighttime visibility, helping reduce run-off-road and other low-light crashes.","Intersection lighting upgrades
",Wider longitudinal pavement markings,"Vulnerable users, lower the risk of serious crashes, and prevent over lighting, use consistent, glare-free lighting at intersections, crosswalks, and transit areas. (FHWA, 2012; FHWA, 2021).?

","1. This treatment is best suited for rural roads, curves, and segments with high rates of nighttime or run-off-road crashes.
2. It can be implemented during corridor upgrades, safety retrofits, or lighting replacements.
3. To protect vulnerable users, lower the risk of serious crashes, and prevent over lighting, use consistent, glare-free lighting at intersections, crosswalks, and transit areas. (FHWA, 2012; FHWA, 2021).?
","This countermeasure supports Safer Roads and Safer Drivers by increasing visibility and visual cues under low-light conditions. Uniform lighting helps drivers detect road edges, curves, signs, and other users earlier especially at high speeds. It improves driver comfort and reduces visual fatigue, contributing to more forgiving roadway environments.?","Agencies can use crash data, night/day crash ratios, or visibility audits to identify corridors where poor lighting contributes to risk. Installing high-performance LED luminaires or retrofitting outdated fixtures can be part of systemic safety strategies, especially on road segments without ambient lighting or with sharp horizontal curves.",Roadway Departure,Nighttime,Reduced visibility,Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Reduce the severity of the crash,Improve design of roadside hardware,Not specified,15,Moderate to High,Proven,Street lighting; brightness uniformity; visibility improvement; low-light crash reduction; pedestrian detection
treat098,Install bicycle lanes,"State DOTs, MPOs, bicycle advocacy groups, community associations, safety advocacy groups. active road users, engineering consultants.",5.9:1,0.335,CMF11548,KABC,All,All,3,0.4108,CMF11549,KABC,All,All,3,"Bicycle lanes are designated portions of the roadway, marked by pavement striping and signs, that provide space for bicyclists to travel separately from motor vehicles.","Buffered or protected bicycle lanes
","Bicycle boxes at intersections
",Reduced speed limits on shared roadways,"1. Bicycle lanes can be installed on arterial or collector roads with sufficient width or through road diet conversions.
2. They are most effective in urban or suburban areas with moderate to high bicycle activity and crash risk.
3. Best suited for moderate traffic corridors with dedicated space but should not be installed on high-speed roads without adequate separation or address right-of-way, drainage, or slope stability constraints.
","Installing bicycle lanes supports the Safe Roads and Safe Road Users elements of the SSA by acknowledging human mistakes and vulnerabilities. By providing dedicated space and separation, redundancy is built in, responsibility is shared, and the principle that death and serious injuries are unacceptable is reinforced","Bicycle lanes can be implemented proactively in corridors identified through bicycle crash analysis or multimodal gap studies. They can be part of complete streets policies, Safe Routes to School programs, or bike network expansions. Agencies can target roads with high cyclist volumes or known safety concerns, especially near schools, parks, and transit hubs.",Pedestrian and Bicyclists,"Bicyclist, Crossing-related",Lack of dedicated space for bicyclists,Safe Road Users,Tier 2: Reduce Vehicle Speeds,Safer Vulnerable Users,Reduce bicycle crashes along roadways,Provide safe roadway facilities for parallel travel ,All,20,Moderate,Proven,Bike lanes; multimodal design; bicycle safety; lane separation; active transportation; complete streets
treat099,Convert Flush Buffered Bike Lane to SBL with Flexi-posts,"State DOTs, MPOs, bicycle advocacy groups, community associations, safety advocacy groups. active road users, engineering consultants.",xx,0.441,CMF11295,Not given,Urban,Bicycle,4,0.441,CMF11295,All,Urban,Bicycle,4,A separated bike lane with flexible posts converts a standard buffered bike lane into a protected facility by adding vertical elements that physically separate bicycles from motor vehicle traffic.,Install dedicated bike signals,Convert shared lanes to dedicated bike lanes,Improve intersection bike treatments,"1. This treatment is most effective on urban arterials and collectors with high vehicle volumes or speeds where cyclist comfort and safety are concerns.
2. It can be implemented during resurfacing, repaving, or bike lane retrofits.
3. Best suited for corridors with high bicycle volumes or crash history; avoid where roadway width or drainage constraints prevent safe separation.
",Converting buffered bike lanes to separated bike lanes (SBL) with flexi-posts supports the Safe Roads element by addressing human vulnerability in mixed traffic. Physical separation adds redundancy and reflects that death and serious injuries are unacceptable. ,"Agencies can identify retrofit opportunities by analyzing bicycle crash patterns, stress-level maps, and public input. Converting flush buffered lanes to separated facilities can be prioritized on corridors with documented safety concerns or high bicycle demand. Pairing these projects with other low-cost safety enhancements supports systemic safety improvements.",Pedestrian and Bicyclists,"Bicyclist, Crossing-related",Lack of dedicated space for bicyclists,Safe Road Users,Tier 1: Remove severe conflicts,Safer Vulnerable Users,Reduce bicycle crashes along roadways,Provide safe roadway facilities for parallel travel ,Not specified,20,Moderate,Proven,Separated bike lane; flexi-posts; buffer conversion; cycling protection; visual barrier; bike safety
treat100,Convert Flush Buffered Bike Lane to SBL with a blend of Flexi-post and other Vertical Elements,"State DOTs, MPOs, bicycle advocacy groups, community associations, engineering consultants, active road users.",xx,0.567,CMF11302,Not given,Urban,Bicycle,4,0.567,CMF11302,All,Urban,Bicycle,4,Separated bike lanes with vertical elements are enhanced bicycle facilities that use posts or barriers to physically separate cyclists from motor vehicle traffic.,Add parking-protected bike lanes,Implement green conflict zone markings,Narrow vehicle lanes to provide buffer space,"1. Separated Bike Lanes (SBLs) with vertical elements are best applied on roads with high vehicle volumes, speeds above 25 mph, or documented bike-vehicle conflicts.
2. They are typically implemented on arterials or collectors with sufficient width to maintain vehicle flow and emergency access.
3. Best suited for corridors with high bicycle activity and frequent conflicts; avoid where roadway width, drainage, or maintenance constraints limit the safe placement of vertical elements","Converting buffered bike lanes to separated bike lanes (SBL) with flexi-posts and other vertical elements supports the Safe Roads element by addressing human vulnerability and mistakes in traffic. Added physical barriers create redundancy and reinforce that death and serious injuries are unacceptable.
","This upgrade can be deployed proactively along high-volume bike corridors, particularly where buffered lanes are underutilized due to perceived safety concerns. Cities may use bike network master plans, crash data, or origin-destination heatmaps to identify candidate corridors. The presence of youth riders, seniors, or e-mobility users further justifies proactive installation.",Pedestrian and Bicyclists,"Bicyclist, Crossing-related",Lack of dedicated space for bicyclists,Safe Road Users,Tier 3: Manage Conflicts in Time,Safer Vulnerable Users,Reduce bicycle crashes along roadways,Provide safe roadway facilities for parallel travel ,Not specified,20,Moderate to High,Proven,Protected bike lane; vertical separation; flexi-posts; planters; delineators; enhanced bike safety
treat101m,Install Sidewalk,"State DOTs, MPOs, community associations, pedestrian advocacy groups, safety advocacy groups, engineering consultants, active road users.",xx,0.41,CMF9240,KA,Urban,Bicycle,2,0.598,CMF11246,All,All,Bicycle,4,"Sidewalks are designated pedestrian pathways along roads that separate pedestrians from motor vehicle traffic, improving safety and mobility.","Install pedestrian refuge islands
","Improve crosswalk markings and signage
",Provide curb extensions or bulb-outs,"1. Install sidewalks or shoulders on roads with pedestrian activity, crash history, or near schools, bus stops, or transit stations to improve pedestrian safety and access.
2. Apply in urban, suburban, and rural areas where dedicated pedestrian facilities are missing and sufficient right-of-way exists for walkway or shoulder installation.
3. The FHWA affirms that walkways are a fundamental countermeasure that reduce crashes and improve safety, especially for vulnerable road users.","Installing sidewalks supports the Safe Road Users element by addressing human vulnerability and mistakes. Providing dedicated pedestrian space adds redundancy and reinforces that death and serious injuries are unacceptable.
","Agencies can proactively install sidewalks in areas with existing pedestrian activity, incomplete networks, or a history of pedestrian crashes. Systemic analysis using land use, transit access, and school proximity helps identify priority corridors. Sidewalks can be implemented cost-effectively as part of complete streets initiatives. Prioritizing vulnerable users, such as children, seniors, and people with disabilities, aligns with equity goals and Vision Zero objectives.",Pedestrian and Bicyclists,Pedestrians ,Lack of separation between pedestrians and moving vehicles,Safe Road Users,Tier 1: Remove severe conflicts,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Provide Sidewalks/Walkways and Curb Ramps ,All,20,Moderate to High,Current,Sidewalk; pedestrian infrastructure; walkability; separation from traffic; pedestrian safety; active transportation
treat102,Presence of exclusive left turn (transit-serviced locations),"State DOTs, MPOs, transit agencies, engineering consultants, community associations.",xx,0.88,CMF2090,All,Urban,All,4,0.88,CMF2090,All,Urban,All,4,"An exclusive left-turn lane reduces crashes by separating turning vehicles from through traffic, minimizing conflict and improving safety at intersections with high left-turn volumes.","Protected left-turn signal phases
","Offset left-turn lanes
",Raised medians with directional openings,"1. Use exclusive left-turn lanes at intersections with heavy left-turn traffic, frequent crashes, or delays. They benefit all drivers and can also improve bus reliability on transit routes.
2. They can be added by widening or reconfiguring lanes, with proper markings, signs, and signals per MUTCD and AASHTO standards.
3. Best suited for intersections with significant transit operations and left-turn volumes; avoid where right-of-way is constrained or where added lanes may increase pedestrian exposure without mitigation.
","Exclusive left-turn lanes at transit-served intersections support the Safe Roads element by accommodating human mistakes and vulnerabilities in turning and merging. Added separation creates redundancy and upholds that death and serious injuries are unacceptable. 
","Proactive implementation of exclusive left-turn lanes involves identifying intersections with growing left-turn volumes, transit operations, or patterns of turning-related crashes. Traffic studies and signal timing analyses can help determine where separation of turning vehicles would prevent future conflicts. Installing these lanes early improves safety, reduces delays, and supports efficient transit and general traffic flow.",Intersection,Left turn,"Improper turn, Failure to yield",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce the frequency and severity of intersection conflicts through geometric design improvements,Provide left-turn lanes at intersections,Not Specified,20,Moderate,Current,Left-turn safety; lane separation; reduce angle crashes; transit access
treat103,Increase separation distance between driveway exit and downstream U-turn by 10% (m) (crashes related to indirect left turns),"State DOTs, MPOs, engineering consultants, business owners, community associations.",xx,0.955,CMF 2215,All,All,All,4,0.955,CMF 2215,All,All,All,4,Increasing driveway-to-U-turn spacing reduces crashes by allowing safer merging and fewer conflicts.,"Access consolidation
","Raised medians with restricted openings
",Right-in/right-out driveway design,"1. Apply on multilane divided roadways with high driveway density and frequent U-turn movements, especially in suburban commercial corridors where quick lane changes cause crashes.
2. Extend the distance between driveways and downstream U-turn openings by at least 10%, using access management principles and geometric design standards to ensure adequate space for lane changes and decision-making.
3. Best suited for corridors with frequent driveways and U-turn movements; avoid where right-of-way or geometric constraints limit the ability to extend separation safely
",Increasing the separation between driveway exits and downstream U-turns supports the Safe Roads element by addressing human mistakes and vulnerability in complex maneuvers. Added spacing provides redundancy and reinforces that death and serious injuries are unacceptable,"Proactive implementation involves reviewing access spacing along corridors with frequent crashes involving left turns or U-turns near driveways. Planners and engineers should use traffic data and roadway design standards to identify locations where short separation distances create safety risks. By increasing spacing before crash patterns develop, agencies can improve traffic flow and reduce the likelihood of sudden lane changes and collisions.",Intersection,"Indirect left turn, Angle collision, Rear-end","Misjudgment of safe gaps, Insufficient distance for safe lane changes",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Improve access management near signalized intersections,Restrict access to properties using driveway closures or turn restrictions ,Principal Arterial Other,20,Low,Current,Indirect left turns; spacing design; reduce merging/weaving conflicts
treat104,Protected/permissive to protected-only left turn phasing,"State DOTs, MPOs, traffic engineers, pedestrian advocacy groups, engineering consultants, community associations.",xx,0.567,CMF10746,KABC,Urban,All,3,0.239,CMF11163,KABC,All,Left turn,3,"Switching from protected/permissive to protected-only left-turn phasing improves safety by eliminating yield-based turns, reducing conflicts with opposing traffic.","Split phasing at intersections
","Leading pedestrian intervals (LPI) 
",Dedicated left-turn lanes with signalization,"1. Use at intersections with high left-turn crash rates, limited sight distance, or complex traffic patterns where permissive turns create safety risks.
2. Reprogram traffic signals to remove the permissive phase and allow left turns only during a protected green arrow, ensuring proper signal timing and clearance intervals per MUTCD standards.
3. Best suited for intersections with high left-turn volumes or crash history; avoid where added signal phases could create excessive delay or diversion without complementary improvements","Converting permissive left turns to protected-only phasing supports the Safe Roads element by accommodating human mistakes and vulnerabilities in judgment gaps. Signal control provides redundancy and reinforces that death and serious injuries are unacceptable.
","Proactive implementation involves reviewing intersections with a history of left-turn crashes or complex traffic patterns. Planners and engineers should use crash data and signal timing records to identify sites where permissive phasing creates safety risks. By converting to protected-only left-turn phases before severe crash patterns emerge, agencies can reduce risky turning conflicts, improve intersection safety, and provide more consistent, predictable operations for all road users.",Intersection,Left turn,"Misjudgment of safe gaps for turns, Driver indecision with complex signal phasing",Safe Roads,Tier 3: Manage Conflicts in Time,Safer Infrastructure,Reduce the frequency and severity of intersection conflicts through geometric design improvements,Restrict or eliminate turning maneuvers by signing,Not Specified,10,Low,Current,Left-turn crashes; signal timing; conflict management
treat105,Install bicycle boulevard,"State DOTs, MPOs, bicycle advocacy groups, community associations, safety advocacy groups, engineering consultants, active road users.",6:01,0.37,CMF3092,All,Urban,Bicycle,4,0.37,CMF3092,All,Urban,Bicycle,4,"A bicycle boulevard is a low-speed street optimized for bicycle travel by using traffic calming, signage, and pavement markings to prioritize bicyclist movement while discouraging through traffic by motor vehicles.","Install Speed Humps
","Install Bicycle Wayfinding Signage
",Enhance Bicycle Crossings at Arterials,"1. Bicycle boulevards are applied to low-volume, low-speed local or collector streets that run parallel to major corridors or connect key destinations such as schools, parks, and commercial centers.
2. Ideal candidate routes are continuous, have few stop signs or traffic signals, and intersect with major streets where enhanced bicycle crossing improvements can be added (e.g., median refuges, curb extensions, HAWK signals).
3. Best suited for low-volume local streets that parallel major corridors; avoid where traffic volumes or speeds are too high to be managed with calming alone.
","Bicycle boulevards advance the SSA by improving road design (Safe Roads) to separate bicyclists from high-speed vehicles, lowering crash risk (Safe Road Users), and supporting safer travel speeds (Safe Speeds). This creates a more forgiving and predictable environment for vulnerable road users.","Bicycle boulevards can be proactively identified through active transportation plans, public input, or network gap analyses. Implementation often occurs alongside Safe Routes to School, Vision Zero, or local bike master planning efforts, particularly in communities aiming to increase bicycle mode share or reduce neighborhood cut-through traffic.",Pedestrian and Bicyclists,"Bicyclist, Crossing-related","Reduced visibility, Failure to yield, Driver inattention/distraction",Safe Road Users,Tier 1: Remove severe conflicts,Safer Vulnerable Users,Reduce bicycle crashes along roadways,Provide safe roadway facilities for parallel travel ,Not Specified,20,Moderate,Current,Low-speed design; shared road; bicycle priority; reduced vehicle volume
treat119,Upgrade signs to flashing lights,"State DOTs, MPOs, traffic engineers, safety advocacy groups, community associations, engineering consultants, utility companies.",xx,0.21,CMF485,All,All,All,4,0.22,CMF483,All,All,All,4,Upgrading signs to flashing lights reduces crashes by enhancing visibility and driver awareness at high-risk or low-visibility locations.,"LED-enhanced stop signs
","Advance stop sign warning signs
",Rumble strips on approaches,"1. Install at uncontrolled, marked crosswalks on multilane roads or locations with high pedestrian activity and insufficient gaps in traffic, as recommended by FHWA guidance.
2. Best suited for high-risk intersections or low-visibility spots like school zones and curves, where flashing lights boost driver alertness and cut crash risks. Avoid in well-lit urban areas or low-traffic roads, as added lights waste resources and may distract or confuse drivers.","Upgrading signs to flashing lights supports the Safe Roads pillar of the Safe System Approach. It improves visibility to handle human mistakes and boosts driver awareness, preventing crashes and serious injuries at risky spots.","Flashing beacons should be proactively installed at stop-controlled intersections where limited visibility, high approach speeds, or increasing crash trends indicate a need for enhanced driver alertness. Selection of appropriate sites should be based on detailed analysis of crash history, approach volumes, sight distance limitations, and field conditions to ensure the beacons effectively reduce the risk of stop sign violations and collisions.",Intersection,"Angle, Rear-end, Turning","Reduced visibility, driver inattention, failure to stop or yield",Safe Roads,Tier 4: Increase attentiveness and awareness,Improved Safety Management,Improve driver awareness of intersections as viewed from the intersection approach,Install flashing beacons at stop-controlled intersections,Minor Arterial,5,Low,Current,Enhanced visibility; alert drivers; improve sign recognition; proactive warning
treat120,Improve visibility of signal heads,"State DOTs, MPOs, traffic signal engineers, engineering consultants,  safety advocacy groups.",xx,0.97,CMF1431,KABC,Urban,All,4,0.93,CMF1430,All,Urban,All,4,The FHWA defines improving signal visibility as enhancing clarity with tools like backplates and placement to reduce crashes by ensuring timely driver response.,LED-enhanced signal lenses,"High-visibility signal backplates
",Advance warning flashing beacons,"1. Apply at signalized intersections with frequent red-light violations, visibility issues, or crash histories, especially in areas with complex backgrounds or poor lighting.
2. Install retroreflective backplates and ensure proper signal alignment, mounting height, and lateral positioning per MUTCD standards to maximize visibility and driver recognition. 
3.Best suited for high-crash signalized intersections or areas with poor visibility. Avoid where Low-risk, well-lit intersections or those with structural limits like high wind, as added backplates may add unnecessary wind load or costs.","Improving signal visibility with backplates and better placement supports the Safe Roads pillar of the Safe System Approach. It enhances clarity to handle human errors and vulnerabilities, ensuring drivers respond in time and preventing crashes or serious injuries.","To implement this countermeasure proactively, agencies should assess intersections with high nighttime traffic, frequent red-light running, or poor signal visibility. Evaluating site conditions and crash trends can help prioritize locations where enhanced signal conspicuity would prevent future incidents. Applying retroreflective backplates in advance of crashes offers a cost-effective way to boost driver awareness and intersection safety.",Intersection,"Angle, Rear-end, Turning","Reduced visibility, Driver inattention/distraction, Red light running",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve driver awareness of intersections and signal control,Improve visibility of signals and signs at intersections ,Not specified,10,Low,Current,Signal compliance; driver perception; reduced violations
treat121,Replace standard stop sign with flashing LED stop sign,"State DOTs, MPOs, traffic engineers, safety advocacy groups, community associations.",25:01:00,0.585,CMF6602,All,All,Angle,4,0.59,CMF4074,All,All,Angle ,3,"Flashing LED STOP signs help to increase visibility, reduce accidents, and improve compliance with STOP sign rules.",Add High-Visibility Pavement Markings,"Increase intersection sight distance
",Improve Intersection Lighting,"1. Flashing LED STOP signs are best applied at intersections with high crash rates, low driver compliance, or where STOP signs are frequently missed due to visibility or driver distraction.
2. They are especially effective at rural or unsignalized intersections and locations where traditional STOP signs have proven insufficient in reducing crash occurrences.
3. Best suited for high-risk intersections withpoor visibility or high non-compliance, like rural roads, school zones, or unsignalized stops. Avoid where low-risk, high-compliance areas or well-lit urban spots, as extra flashing may distract drivers.?","Flashing LED STOP signs support the Safe Roads pillar of the Safe System Approach. They boost visibility to handle human mistakes and vulnerabilities, improving driver compliance and preventing crashes or serious injuries",LED STOP signs should be proactively installed at intersections with prior crash histories or observed issues with driver compliance. They are particularly suited for locations flagged during network screening as having potential for safety improvement. Installation during routine sign upgrades can keep implementation costs low while maximizing visibility and impact.,Intersection,"Angle, Rear-end, Turning","Reduced visibility, Driver inattention/distraction, Non-compliance",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve driver awareness of intersections as viewed from the intersection approach,Install flashing beacons at stop-controlled intersections,Not specified,5,Low,Current,Enhanced visibility; compliance; warning device; nighttime recognition
treat122m,Widen Shoulder,"State DOTs, MPOs, engineering consultants, construction contractors, freight/trucking associations.",1.2:1,0.84,CMF6295,K,Urban,Fixed Object,4,0.93,CMF6313,K,Urban,Fixed Object,4,"Widening paved shoulders on roadways can help reduce run-off road crashes, increase stability for vehicles, and improve maneuvering space for drivers.","Rumble strips on widened shoulders
","Guardrail upgrades 
",High-friction surface treatments,"1. Widen paved shoulders on high-speed, limited-access highways, especially along segments with high run-off-road crash frequencies or restricted recovery zones.
2. This provides additional recovery space for errant vehicles, improves lateral clearance for disabled vehicles or emergency stops, and offers increased space for maintenance activities.
3. Best suited for rural high-speed roads or highways with high run-off risks, where wider shoulders provide recovery space and boost vehicle stability. Avoid where urban areas with limited right-of-way or steep slopes, as widening may increase costs and drainage issues.","Wider paved shoulders on roadways support the Safe Roads element of the Safe System Approach. They provide extra space to handle human mistakes and vulnerabilities, reducing run-off crashes and preventing deaths or serious injuries.","Widening shoulders should be integrated during planned resurfacing, reconstruction, or capacity improvement projects on interstates and high-speed arterials. Agencies should prioritize segments with narrow shoulders, high-speed limits, or elevated single-vehicle crash rates. Research emphasized that modest increases in shoulder width provided measurable safety benefits and extended pavement life by reducing edge deterioration.",Roadway Departure,Run-off-road,"Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Keep vehicles from encroaching on the roadside,Apply shoulder treatments (Widen and/or pave shoulders),Principal Arterial Interstate,20,Moderate,Current,Shoulder width; lateral clearance; maneuvering space; run-off recovery
treat125,Widen managed lane envelope,"State DOTs, MPOs, engineering consultants, safety advocacy groups, freight/trucking associations.",N/A,0.956,CMF9400,KABC,Urban,All,3,0.98,CMF9398,All,Urban,All,3,Widening the managed lane envelope increases the lateral buffer between managed and general-purpose lanes using markings or separators to reduce lane-change crashes and enhance safety.,"Channelizing Devices
","Managed Lane Access Control
",Dynamic Lane Use Control,"1. Apply on freeways or expressways with existing or planned managed lanes (e.g., HOV, toll, or bus-only lanes).
2. Use during restriping, pavement rehabilitation, or capacity expansion projects, especially in corridors with lane-change-related crash history near managed lane entry/exit points.
3. The FHWA states that ?Expanding lateral separation between managed and general-purpose lanes can reduce conflict points, improve operational consistency, and enhance safety for all users.?",This treatment supports the Safe System Approach by promoting Safer Roads and Safer Speeds. It addresses user error by improving lane clarity and reducing pressure to change lanes abruptly. The additional buffer enhances system forgiveness and crash survivability.,"Proactively implementing widened managed lane envelopes during design, resurfacing, or capacity projects enhances safety and operations. Target corridors with high lane-change crash rates, and coordinate with enforcement and emergency responders. Integrating this treatment early supports Safe System goals, reduces retrofit costs, and improves managed lane effectiveness and driver compliance.",Roadway Departure,Run-off-road,"Fixed object, Overturn",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Keep vehicles from encroaching into opposite lane,Provide center two-way left-turn lanes for four- and two-lane roads,Not specified,20,Moderate to High,Current,Managed lane; envelope widening; buffer space; operational safety; lane discipline; high-occupancy vehicle lane
treat126,Provide 2-ft paved shoulders (both sides),"State DOTs, MPOs, county highway departments, engineering consultants, safety advocacy groups.",xx,0.84,CMF10416,KABC,Rural,Run off road,4,0.93,CMF10400,KABC,Rural,Run off road,3,2-ft paved shoulders add narrow recovery space along rural roads to reduce run-off-road crashes and improve edge safety.,"Safety edge paving
","Rumble strips along shoulder edge
",Widening full-width shoulders where feasible,"1. 2-ft paved shoulders are commonly used on rural two-lane roads with narrow or no shoulders.
2. They are especially effective on segments with high run-off-road crash rates or roadside hazards.
3. According to the AASHTO Roadside Design Guide, narrow shoulders can still provide safety benefits when full-width shoulders are not feasible.","This treatment supports Safer Roads and Safer Vehicles by increasing recovery space and reducing crash severity. It helps compensate for common driver errors like distraction or overcorrection, making rural roads more forgiving. On corridors with higher speeds and limited recovery zones, 2-ft paved shoulders can significantly reduce the risk of serious roadway departure crashes.","2-ft paved shoulders can be proactively added during resurfacing or preservation projects on rural roads with run-off-road or edge-related crash histories. A systemic approach can help identify segments with narrow lanes, steep edge drop-offs, or limited clear zones. Where full-width shoulders are not feasible, this treatment offers cost-effective safety benefits. Including it in maintenance programs allows agencies to improve safety incrementally across the network.",Roadway Departure,Run-off-road,"Reduced visibility, Driver inattention/distration",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Keep vehicles from encroaching on the roadside,Apply shoulder treatments (Widen and/or pave shoulders),Not specified,20,Moderate,Current,Paved shoulders; roadside recovery; edge support; rural roads; shoulder safety; low-cost treatment
treat127m,Decrease Speed Limit,"State DOTs, MPOs, law enforcement agencies, judicial authorities, engineering consultants, safety advocacy groups.",xx,0.8553,CMF2928,All,All,All,4,0.9123,CMF2929,All,All,Speed related ,3,"Decreasing posted speed limits involves reducing the regulatory speed limit to a lower value deemed safer based on roadway conditions, crash history, or operational concerns.",Apply High-Friction Surface Treatment (HFST),"Enhanced police enforcement operations
",Speed limit reduction campaigns,"1. Apply on expressways with crash history, poor design, heavy merging, work zones, or near urban areas and vulnerable users.
2. Set limits based on engineering study considering 85th percentile speed, crash data, land use, and road design. 
3. Not recommended on high-speed, limited-access expressways without supporting design changes, where compliance is unlikely, and congestion impacts outweigh safety benefits.","Lowering expressway speed limits reduces crash severity, supports safe speeds, acknowledges human vulnerability, promotes shared responsibility, and ensures proactive, redundant safety when combined with enforcement and roadway design measures.","Speed limit reductions can be implemented proactively through corridor safety assessments, systemic speed management programs, or in response to evolving land use and mobility patterns. Agencies may also adjust speed limits as part of Vision Zero initiatives or when integrating expressways into urban networks with multimodal interactions.",Speeding,Speeding,"Unsafe speed, Aggressive driving behaviors",Safe Speeds,Tier 2: Reduce Vehicle Speeds,Safer Drivers and Passengers,Set appropriate speed limits,Implement differential speed limits for heavy vehicles if appropriate (High Speed Only) ,Principal Arterial Other Freeways and Expressways,10,Low,Proven,Speed management; policy change; severity reduction; expressway safety
treat131,Conversion of intersection into high-speed roundabout,"State DOTs, MPOs, engineering consultants, safety advocacy groups, freight/trucking associations.",16.8:1,0.17,CMF10440,KABC,All,All,3,0.21,CMF10435,KABC,All,All,,High-speed roundabouts are circular intersections that manage fast approaches and reduce the severity of crashes compared to traditional designs.,"Intersection Conflict Warning Systems
","Median U-turn or RCUT treatments
",Enhanced lighting and warning signs,"1. High-speed roundabouts are best suited for rural or suburban intersections with moderate-to-high approach speeds and a history of severe crashes.
2. They are commonly used as alternatives to stop- or signal-controlled intersections on high-speed corridors.
3. Not recommended at low-volume intersections, constrained sites, or locations with high pedestrian activity where roundabout design compromises safety","High-speed roundabouts support Safe Roads and Safe Speeds by eliminating high-speed crossing conflicts. Their design reduces the angle and speed of impact during crashes and promotes yielding behavior, making them more forgiving of driver error.","High-speed roundabouts can be proactively implemented at intersections identified through systemic safety analysis, especially those with patterns of angle or high-speed turning crashes. These sites often lack turn lanes, have poor sight distance, or involve complex driver decisions. Integrating roundabout conversion into corridor-level safety upgrades or during scheduled reconstruction allows agencies to address multiple safety issues cost-effectively. This approach supports long-term crash reduction and improved network performance.",Intersection,"Angle, rear-end, turning",Failure to yield,Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce frequency and severity of intersection conflicts through geometric improvements,Construct special solutions ,All,20,High,Proven,High-speed roundabout; intersection conversion; crash severity reduction; conflict elimination; yield control; speed moderation
treat132,Install dual red signal lenses,"State DOTs, MPOs, engineering consultants, safety advocacy groups, utility companies. ",xx,1.05,CMF2335,All,All,All,,1.18,CMF2336,All,All,All,,Install dual red signal lenses is a traffic signal improvement strategy that involves placing two red signal lenses for each approach lane.,"Install Intersection Lighting
","Use LED Signal Modules
",Optimize Signal Timing ,"1. Dual red signal lenses enhance the visibility of red lights at signalized intersections, especially on high-speed or multilane approaches where a single indication may be obscured by glare or obstructions.
2. They are suitable for any signalized approach and are particularly effective at locations with a history of red-light running. 
3. Not recommended at low-volume intersections or where existing signal visibility is already sufficient, offering minimal additional safety benefit.","Dual red signal lenses enhance safe roads and users by improving visibility, addressing human mistakes, supporting shared responsibility, and providing proactive, redundant protection to reduce red-light violations and crashes","Dual red lenses can be proactively installed at locations with signal visibility challenges, high-risk traffic patterns, or documented red-light violations. Agencies can identify potential sites through crash history analysis, public input, or proactive systemic reviews of intersection approaches with high volumes or poor signal visibility conditions.",Intersection,"Angle, Rear-end, Turning","Reduced signal ambiguity, Delayed driver reaction, Abrupt stopping",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve driver awareness of intersections and signal control,Improve visibility of signals and signs at intersections ,Not Specified,10,Low,Current,Signal redundancy; visibility enhancement; fail-safe indicator for red light compliance
