CountermeasureID,Countermeasure,AreaType,minCMF,maxCMF,RoadType,minStarQuality,maxStarQuality,min_MinAADT,min_MaxAADT,CMF1 (min),CMF2 (max),CMF3 (mean),Short Description,Countermeasure 1,Countermeasure 2,Countermeasure 3,Key Stakeholder,How and where to apply,Use in a Safe System Approach,Proactive Implementation,Emphasis area,Target Crash,Contributing Factors,SSA Pillars,SSA Hierarchy,AASHTO,NCHRP 500 Series Objective,N500St,Road Type_TBD,Benefit-cost ratio,Service Life,Cost,Countermeasure Staus_OnlyforTool,Keyword_OnlyForTool,id,img
treat084,Change street surface condition from poor to good,Rural,0.74,1.26," Rural two-lane
Minor arterial",4,5,410,26943,CMF5627,CMF5634,CMF5630,Improving road conditions prevents vehicles from encroaching on the roadside by providing skid-resistant pavement surfaces.,"High friction surface treatments
","Enhanced pavement markings
",Roadway drainage improvements,"State and Local Transportation Agencies, Public Works Departments, City Planners","1. Improve street surface condition from poor to good on rural roadways with high volumes where deteriorated pavement contributes to crash risk and road user discomfort.
2. Surface condition upgrades may include full-depth pavement reconstruction, resurfacing, or targeted patching based on pavement condition index (PCI), ride quality, and crash data.
3. Improved pavement conditions enhance vehicle control, reduce driver workload, and improve visibility of markings and surface-based signage.","Improving surface condition directly supports the SSA by reducing crash risk factors related to vehicle instability, hydroplaning, and driver error. Smoother surfaces support safe speed management and shorten stopping distances.","Pavement upgrades should be prioritized using data-driven methods that incorporate PCI ratings, crash history, and user complaints. Proactive investment in surface improvements can reduce maintenance backlogs, prevent further degradation, and improve safety equity. Research from the Missouri DOT showed that crash rates were significantly lower on good-condition pavements compared to poor ones.",Roadway departure,Run-off-road,"Loss of control, Increased stopping distance",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching on the roadside,Provide skid-resistant pavement surfaces,Not specified,xx,10,Moderate to High,Current,Resurfacing; pavement condition; traction; skid resistance,59,treat084.jpg
treat086,Install left-turn lane at signalized intersection,All,0.412,0.799,"Urban/suburban arterials
Rural arterial",4,4,,,CMF8002,CMF8000,CMF7999,"A raised median reduces opportunities for high-severity head-on and angle crashes, while additional through lanes can help reduce congestion-related rear-end crashes.","Advance intersection warning signs
","Retroreflective sheeting on signposts
",Wider stop bar markings,"State DOTs, Intersection Designers, Traffic Engineers","1. Install left-turn lanes at signalized intersections with high volumes of left-turning vehicles, limited sight distance, or frequent left-turn-related crashes.
2. Especially effective at intersections with high-speed approaches or where left-turning vehicles block through lanes, increasing rear-end and angle crash risk.
3. Left-turn lanes can be added via roadway widening, median adjustments, or lane reallocation.","Installing left-turn lanes reduces conflict points and improves traffic flow, enhancing both operational and safety performance. It allows for physical and temporal separation of turning and through vehicles, lowering the chance of misjudged gaps and late decision-making, key principles of SSA.","Proactively assess intersections for left-turn volumes, crash history, and available sight distance. Incorporate turn lane improvements during intersection upgrades, signal modernization, or corridor safety projects. Prioritize locations with older signals, limited space, or transitions from rural to urban settings.",Intersection,Left turn,"Inadequate storage capacity for left-turning vehicles, Poor sight distance for left-turning movements",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce frequency and severity of intersection conflicts through geometric improvements,Provide/improve left-turn channelization ,Not specified,xx,20,Moderate,Current,Turning movement safety; delay reduction; crash separation; intersection control,60,treat086.jpg
treat095,Install a pedestrian hybrid beacon (PHB or HAWK),Urban and Suburban,0.543,0.991,All,4,5,,,CMF10607,CMF10588,CMF10602,A Pedestrian Hybrid Beacon (PHB) is a pedestrian-activated signal that stops vehicles to allow safe pedestrian crossing at unsignalized locations.,"Curb extensions or median refuge islands
","Rectangular Rapid Flashing Beacons (RRFBs)
",Raised crosswalks at unsignalized locations,"State and local DOTs
Urban safety and pedestrian planning agencies","1. PHBs are typically installed at midblock crossings or unsignalized intersections with high pedestrian demand and inadequate gaps in traffic.
2. They are most effective on multi-lane roads with high traffic volumes or speeds.
3. According to FHWA, PHBs are recommended where marked crosswalks alone have proven insufficient to ensure safe crossing.",PHBs align with Safer People and Safer Intersections by controlling vehicle movement to create protected crossing opportunities. They compensate for gaps in driver yielding behavior and offer a predictable signal-based intervention that alerts both pedestrians and drivers. PHBs help reduce the likelihood of severe crashes at locations where complete traffic signals are not warranted.,"Agencies can implement PHBs proactively in areas with documented pedestrian crashes, near high pedestrian generators like schools, transit stops, or community centers. Systemic safety analysis can identify corridors with risky midblock crossings or long uncontrolled crossing distances. Integrating PHBs into pedestrian safety action plans supports broader Vision Zero and Safe Routes to School efforts.",Pedestrian and Bicyclists,Crossing-related,Risky crossing behavior,Safe Road Users,Tier 3: Manage Conflicts in Time,Safer Vulnerable Users,Improve Sight Distance and/or Visibility Between Motor Vehicles and Pedestrians,Signals to Alert Motorists That Pedestrians Are Crossing,All,xx,10,Moderate,Proven,Pedestrian beacon; HAWK signal; midblock safety; active warning; crosswalk alert; yield compliance,61,treat095.jpg
treat096,Presence of a pedestrian crosswalk at midblock locations,Urban,0.82,0.82,"Urban/Suburban arterial
Urban collector",4,4,,,CMF11181,,,Midblock crosswalks are marked pedestrian crossings located between intersections to facilitate safe crossing where pedestrian demand exists away from signalized or stop-controlled locations.,"Install Rectangular Rapid Flashing Beacons
","Add curb extensions or median refuge islands
",Improve lighting signage at crossings,"Pedestrian safety planners
Local traffic engineers ","1. Midblock crosswalks are appropriate in areas with significant pedestrian activity between intersections, such as near schools, transit stops, shopping centers, or parking lots.
2. They should be located where gaps in traffic allow safe crossing and sight distance is adequate.
3. FHWA guidance recommends using engineering judgment to determine the need for supplementary enhancements (e.g., RRFBs, curb extensions).","Supports Safer Road Users and Safer Roads by channelizing pedestrian movement to safer locations. When designed with appropriate enhancements (e.g., signage, lighting, signals), midblock crosswalks help separate road users in time and space and reduce crossing risk.","Midblock crossings should be proactively implemented in pedestrian-priority zones identified through land use analysis, crash data, or public input. This supports walkability and access to destinations. A systemic approach can prioritize corridors with long blocks or known pedestrian desire lines.",Pedestrian and Bicyclists,Crossing-related,Risky crossing behavior,Safe Road Users,Tier 4: Increase attentiveness and awareness,Safer Vulnerable Users,Improve Sight Distance and/or Visibility Between Motor Vehicles and Pedestrians,Provide Crosswalk Enhancements ,Not specified,xx,1,Low,Proven,Midblock crosswalk; pedestrian access; crossing safety; uncontrolled location; refuge island; visibility treatment,62,treat096.jpg
treat097,Improve street lighting illuminance and uniformity,Urban and Suburban,0.581,0.679,"Arterial
Collector",4,4,,,CMF11027,CMF11750,CMF11026,"Improving street lighting illuminance and uniformity increases nighttime visibility, helping reduce run-off-road and other low-light crashes.","Intersection lighting upgrades
",Wider longitudinal pavement markings,Delineators edge enhancements on curves,"State and local roadway agencies, 
Traffic engineers and lighting designers","1. This treatment is best suited for rural roads, curves, and segments with high rates of nighttime or run-off-road crashes.
2. It can be implemented during corridor upgrades, safety retrofits, or lighting replacements.
3. According to FHWA guidelines, uniform and sufficient lighting levels should be applied to minimize dark spots and contrast glare that impair driver recognition.
","This countermeasure supports Safer Roads and Safer Drivers by increasing visibility and visual cues under low-light conditions. Uniform lighting helps drivers detect road edges, curves, signs, and other users earlier?especially at high speeds. It improves driver comfort and reduces visual fatigue, contributing to more forgiving roadway environments.","Agencies can use crash data, night/day crash ratios, or visibility audits to identify corridors where poor lighting contributes to risk. Installing high-performance LED luminaires or retrofitting outdated fixtures can be part of systemic safety strategies, especially on road segments without ambient lighting or with sharp horizontal curves.",Roadway departure,Nighttime,Reduced visibility,Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Reduce the severity of the crash,Improve design of roadside hardware,Not specified,xx,15,Moderate to High,Proven,Street lighting; brightness uniformity; visibility improvement; low-light crash reduction; pedestrian detection,63,treat097.jpg
treat098,Install bicycle lanes,Urban,0.435,0.734,All,4,4,10,92462,CMF10737,CMF10741,CMF11555,"Bicycle lanes are designated portions of the roadway, marked by pavement striping and signs, that provide space for bicyclists to travel separately from motor vehicles.","Buffered or protected bicycle lanes
","Bicycle boxes at intersections
",Reduced speed limits on shared roadways,"Municipal and regional transportation agencies, 
Bicycle and pedestrian safety coordinators","1. Bicycle lanes can be installed on arterial or collector roads with sufficient width or through road diet conversions.
2. They are most effective in urban or suburban areas with moderate to high bicycle activity and crash risk.
3. According to FHWA guidance, bike lanes should be included during repaving or restriping projects to improve multimodal safety and comfort.","This countermeasure supports Safer Users and Safer Roads by physically or visually separating bicyclists from faster-moving vehicles. Dedicated lanes encourage predictable behavior, increase visibility, and reduce exposure to severe conflicts.","Bicycle lanes can be implemented proactively in corridors identified through bicycle crash analysis or multimodal gap studies. They can be part of complete streets policies, Safe Routes to School programs, or bike network expansions. Agencies can target roads with high cyclist volumes or known safety concerns, especially near schools, parks, and transit hubs.",Pedestrian and Bicyclists,"Bicyclist, Crossing-related",Lack of dedicated space for bicyclists,Safe Road Users,Tier 2: Reduce Vehicle Speeds,Safer Vulnerable Users,Reduce bicycle crashes along roadways,Provide safe roadway facilities for parallel travel ,All,5.9:1,20,Moderate,Proven,Bike lanes; multimodal design; bicycle safety; lane separation; active transportation; complete streets,64,treat098.jpeg
treat099,Convert Flush Buffered Bike Lane to SBL with Flexi-posts,Urban,0.441,0.441,"Urban arterial
Urban collector",4,4,,,CMF11295,CMF11295,,A separated bike lane with flexible posts converts a standard buffered bike lane into a protected facility by adding vertical elements that physically separate bicycles from motor vehicle traffic.,Install dedicated bike signals,Convert shared lanes to dedicated bike lanes,Improve intersection bike treatments,"City transportation and planning agencies, 
Bicycle safety advocates and community groups","1. This treatment is most effective on urban arterials and collectors with high vehicle volumes or speeds where cyclist comfort and safety are concerns.
2. It can be implemented during resurfacing, repaving, or bike lane retrofits.
3. According to FHWA guidance, SBLs with flexible posts should be installed on streets with sufficient width to maintain vehicle flow while providing dedicated space for bicycles.","This countermeasure supports Safer Road Users and Safer Roads by physically separating vulnerable users from motor vehicles, reducing conflict severity and improving predictability. Flexible posts increase driver awareness and help moderate speeds near bike facilities.","Agencies can identify retrofit opportunities by analyzing bicycle crash patterns, stress-level maps, and public input. Converting flush buffered lanes to separated facilities can be prioritized on corridors with documented safety concerns or high bicycle demand. Pairing these projects with other low-cost safety enhancements supports systemic safety improvements.",Pedestrian and Bicyclists,"Bicyclist, Crossing-related",Lack of dedicated space for bicyclists,Safe Road Users,Tier 1: Remove severe conflicts,Safer Vulnerable Users,Reduce bicycle crashes along roadways,Provide safe roadway facilities for parallel travel ,Not specified,xx,20,Moderate,Proven,Separated bike lane; flexi-posts; buffer conversion; cycling protection; visual barrier; bike safety,65,treat099.png
treat100,Convert Flush Buffered Bike Lane to SBL with a blend of Flexi-post and other Vertical Elements,Urban,0.567,0.567,"Urban arterial
Urban collector",4,4,,,CMF11302,CMF11302,,Separated bike lanes with vertical elements are enhanced bicycle facilities that use posts or barriers to physically separate cyclists from motor vehicle traffic.,Add parking-protected bike lanes,Implement green conflict zone markings,Narrow vehicle lanes to provide buffer space,"Local transportation departments and active transportation planners, 
Traffic engineers and roadway designers","1. Separated Bike Lanes (SBLs) with vertical elements are best applied on roads with high vehicle volumes, speeds above 25 mph, or documented bike-vehicle conflicts.
2. They are typically implemented on arterials or collectors with sufficient width to maintain vehicle flow and emergency access.
3. According to FHWA, these facilities improve safety and comfort for all users and should be placed where clear separation is needed?especially in corridors connecting to schools, transit, and employment centers.","Supports Safer Road Users and Safer Roads by reducing conflict points between bikes and vehicles, improving predictability, and lowering the risk of side-swipe and turning crashes.","This upgrade can be deployed proactively along high-volume bike corridors, particularly where buffered lanes are underutilized due to perceived safety concerns. Cities may use bike network master plans, crash data, or origin-destination heatmaps to identify candidate corridors. The presence of youth riders, seniors, or e-mobility users further justifies proactive installation.",Pedestrian and Bicyclists,"Bicyclist, Crossing-related",Lack of dedicated space for bicyclists,Safe Road Users,Tier 3: Manage Conflicts in Time,Safer Vulnerable Users,Reduce bicycle crashes along roadways,Provide safe roadway facilities for parallel travel ,Not specified,xx,20,Moderate to High,Proven,Protected bike lane; vertical separation; flexi-posts; planters; delineators; enhanced bike safety,66,treat100.jpg
treat101,Install sidewalk,All,0.598,0.598,All,4,4,,,CMF11246,CMF11246,,"Sidewalks are designated pedestrian pathways along roads that separate pedestrians from motor vehicle traffic, improving safety and mobility.","Install pedestrian refuge islands
","Improve crosswalk markings and signage
",Provide curb extensions or bulb-outs,"State and local transportation agencies
Pedestrian and bicycle planners","1. Sidewalks are essential on urban and suburban roads with pedestrian traffic, especially near schools, transit stops, and commercial areas.
2. They are most effective in corridors with documented pedestrian crashes or where existing facilities are incomplete or substandard.
3. According to FHWA guidance, sidewalks should be at least 5 feet wide with appropriate curb ramps and crossings for accessibility.
","Sidewalks align with the Safe System principles of Safer Roads and Safer Road Users by physically separating pedestrians from vehicles, significantly reducing conflict risk. They increase predictability for drivers and pedestrians alike, improving visibility and reducing crash severity.","Agencies can proactively install sidewalks in areas with existing pedestrian activity, incomplete networks, or a history of pedestrian crashes. Systemic analysis using land use, transit access, and school proximity helps identify priority corridors. Sidewalks can be implemented cost-effectively as part of complete streets initiatives or bundled with repaving and curb ramp upgrades. Prioritizing vulnerable users, such as children, seniors, and people with disabilities, aligns with equity goals and Vision Zero objectives.",Pedestrian and Bicyclists,Pedestrians ,Lack of separation between pedestrians and moving vehicles,Safe Road Users,Tier 1: Remove severe conflicts,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Provide Sidewalks/Walkways and Curb Ramps ,All,xx,20,,Current,Sidewalk; pedestrian infrastructure; walkability; separation from traffic; pedestrian safety; active transportation,67,treat101.png
treat102,Presence of exclusive left turn (transit-serviced locations),Urban,0.88,0.88,Not specified,4,4,,,CMF2090,CMF2090,,"An exclusive left-turn lane reduces crashes by separating turning vehicles from through traffic, minimizing conflict and improving safety at intersections with high left-turn volumes.","Protected left-turn signal phases
","Offset left-turn lanes
",Raised medians with directional openings,"Agency maintenance personnel, DOT, Active road users","1. Exclusive left-turn lanes should be applied at signalized or stop-controlled intersections with high left-turn volumes, frequent rear-end or angle crashes, or significant delays caused by turning vehicles.
2. Install by widening the roadway or reconfiguring existing lanes to add a dedicated left-turn lane, ensuring proper lane markings, signage, and signal phasing in accordance with MUTCD and AASHTO standards.","Exclusive left-turn lanes at transit locations advance the Safe System Approach by improving road design to separate turning and through traffic (Safe Roads), reducing conflict points and crash risk, and supporting safer, more predictable road user behavior (Safe Road Users).","Proactive implementation of exclusive left-turn lanes involves identifying intersections with growing left-turn volumes, transit operations, or patterns of turning-related crashes. Traffic studies and signal timing analyses can help determine where separation of turning vehicles would prevent future conflicts. Installing these lanes early improves safety, reduces delays, and supports efficient transit and general traffic flow.",Intersection,Left turn,"Improper turn, Failure to yield",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce the frequency and severity of intersection conflicts through geometric design improvements,Provide left-turn lanes at intersections,Not Specified,xx,20,Moderate,Current,Left-turn safety; lane separation; reduce angle crashes; transit access,68,treat102.png
treat103,Increase separation distance between driveway exit and downstream U-turn by 10% (m) (crashes related to indirect left turns),All,0.955,0.955,Principal Arterial Other,4,4,,,CMF 2215,CMF 2215,,Increasing driveway-to-U-turn spacing reduces crashes by allowing safer merging and fewer conflicts.,"Access consolidation
","Raised medians with restricted openings
",Right-in/right-out driveway design,"Agency maintenance personnel, DOT, Active road users","1. Apply on multilane divided roadways with high driveway density and frequent U-turn movements, especially in suburban commercial corridors where quick lane changes cause crashes.
2. Extend the distance between driveways and downstream U-turn openings by at least 10%, using access management principles and geometric design standards to ensure adequate space for lane changes and decision-making.","This countermeasure aligns with the Safe System Approach by reducing conflict points and giving drivers more time to make safe decisions, especially when turning or merging. It supports safer roads and safer road users by improving predictability and minimizing crash risk from sudden maneuvers.","Proactive implementation involves reviewing access spacing along corridors with frequent crashes involving left turns or U-turns near driveways. Planners and engineers should use traffic data and roadway design standards to identify locations where short separation distances create safety risks. By increasing spacing before crash patterns develop, agencies can improve traffic flow and reduce the likelihood of sudden lane changes and collisions.",Intersection,"Indirect left turn, Angle collision, Rear-end","Misjudgment of safe gaps, Insufficient distance for safe lane changes",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Improve access management near signalized intersections,Restrict access to properties using driveway closures or turn restrictions ,Principal Arterial Other,xx,20,Low,Current,Indirect left turns; spacing design; reduce merging/weaving conflicts,69,treat103.jpg
treat104,Protected/permissive to protected-only left turn phasing,All,0,1.02,Not specified,4,4,,,CMF2326,CMF2328,,"Switching from protected/permissive to protected-only left-turn phasing improves safety by eliminating yield-based turns, reducing conflicts with opposing traffic.","Split phasing at intersections
","Leading pedestrian intervals (LPI) 
",Dedicated left-turn lanes with signalization,"Agency maintenance personnel, DOT, Active road users","1. Use at intersections with high left-turn crash rates, limited sight distance, or complex traffic patterns where permissive turns create safety risks.
2. Reprogram traffic signals to remove the permissive phase and allow left turns only during a protected green arrow, ensuring proper signal timing and clearance intervals per MUTCD standards.","Converting to protected-only left-turn phasing supports the Safe System Approach by improving road design (Safe Roads) to eliminate risky crossing conflicts, reduce crash severity, and create a more predictable, controlled intersection environment. This also supports safer road user behavior (Safe Road Users) by clarifying turning movements and minimizing decision complexity.","Proactive implementation involves reviewing intersections with a history of left-turn crashes or complex traffic patterns. Planners and engineers should use crash data and signal timing records to identify sites where permissive phasing creates safety risks. By converting to protected-only left-turn phases before severe crash patterns emerge, agencies can reduce risky turning conflicts, improve intersection safety, and provide more consistent, predictable operations for all road users.",Intersection,Left turn,"Misjudgment of safe gaps for turns, Driver indecision with complex signal phasing",Safe Roads,Tier 3: Manage Conflicts in Time,Safer Infrastructure,Reduce the frequency and severity of intersection conflicts through geometric design improvements,Restrict or eliminate turning maneuvers by signing,Not Specified,xx,10,Low,Current,Left-turn crashes; signal timing; conflict management,70,treat104.jpg
treat105,Install bicycle boulevard,Urban and Suburban,0.37,0.37,Not specified,4,4,,,CMF3092,CMF3092,,"A bicycle boulevard is a low-speed street optimized for bicycle travel by using traffic calming, signage, and pavement markings to prioritize bicyclist movement while discouraging through traffic by motor vehicles.","Install Speed Humps
","Install Bicycle Wayfinding Signage
",Enhance Bicycle Crossings at Arterials,"State and local transportation agencies, municipal public works departments, utility companies","1. Bicycle boulevards are applied to low-volume, low-speed local or collector streets that run parallel to major corridors or connect key destinations such as schools, parks, and commercial centers.
2. Ideal candidate routes are continuous, have few stop signs or traffic signals, and intersect with major streets where enhanced bicycle crossing improvements can be added (e.g., median refuges, curb extensions, HAWK signals).","Bicycle boulevards advance the SSA by improving road design (Safe Roads) to separate bicyclists from high-speed vehicles, lowering crash risk (Safe Road Users), and supporting safer travel speeds (Safe Speeds). This creates a more forgiving and predictable environment for vulnerable road users.","Bicycle boulevards can be proactively identified through active transportation plans, public input, or network gap analyses. Implementation often occurs alongside Safe Routes to School, Vision Zero, or local bike master planning efforts, particularly in communities aiming to increase bicycle mode share or reduce neighborhood cut-through traffic.",Pedestrian and Bicyclists,"Bicyclist, Crossing-related","Limited visibility, Failure to yield, Driver inattention/distraction",Safe Road Users,Tier 1: Remove severe conflicts,Safer Vulnerable Users,Reduce bicycle crashes along roadways,Provide safe roadway facilities for parallel travel ,Not Specified,6:1,20,Moderate,Current,Low-speed design; shared road; bicycle priority; reduced vehicle volume,71,treat105.jpg
treat106,Convert Traditional or Flush Buffered Bike Lane to SBL with Flexi-posts,Urban,0.468,0.468,Not specified,4,4,,,CMF11296,CMF11296,,Converting a buffered bike lane into a separated bike lane involves adding flexible posts or vertical elements that physically separate bicycles from motor vehicle traffic.,Dedicated bicycle signals,Green-colored pavement at conflict zones,Intersection crossing markings for bikes,"City transportation and traffic agencies, 
Bicycle advocacy organizations","1. This is recommended for urban corridors with high bicycle volumes, documented conflicts between vehicles and cyclists, or where enhanced comfort and safety are needed.
2. It can be implemented during resurfacing, corridor upgrades, or retrofits.
3. According to FHWA guidance, flexible posts should be installed where space allows, ensuring continuous protection while maintaining vehicle flow.","This supports Safer Road Users and Safer Roads by physically separating cyclists from motor vehicles, reducing the severity of potential conflicts. The vertical separation helps drivers stay aware of bicyclists and encourages better yielding behavior.","Agencies can proactively retrofit buffered bike lanes to separated bike lanes using crash data, stress-level maps, and community feedback. Corridors near schools, parks, and transit hubs are prime candidates. Conversions can also be integrated with routine maintenance or capital improvement programs to maximize cost-effectiveness.",Pedestrian and Bicyclists,"Bicyclist, Crossing-related",Lack of dedicated space for bicyclists,Safe Road Users,Tier 2: Reduce Vehicle Speeds,Safer Vulnerable Users,Reduce bicycle crashes along roadways,Provide safe roadway facilities for parallel travel ,Not specified,xx,20,Moderate,Proven,Bike lane upgrade; buffered lane; flexi-posts; protected cycling; roadway adaptation; multimodal safety,72,treat106.png
treat107,Convert Traditional or Flush Buffered Bike Lane to SBL with a blend of Flexi-post and other Vertical Elements,Urban,0.602,0.602,Not specified,4,4,,,CMF11303,CMF11303,,Separated bike lanes with vertical elements are enhanced bicycle facilities that use posts or barriers to physically separate cyclists from motor vehicle traffic.,"Add flexi-post or curb-separated bike lanes
","Introduce protected intersection elements
",Use painted buffers and intersection markings,"Transportation agencies and bicycle infrastructure planners, 
Municipal engineering departments","1. This treatment is most applicable on urban or suburban corridors where traditional or buffered bike lanes are insufficient to provide protection. 
2. It should be considered on roads with higher speeds (ò25 mph), heavy turning traffic, or documented conflicts between cyclists and vehicles.
3. According to FHWA and NACTO, upgrading to separated bike lanes improves comfort, reduces encroachment, and increases safety?especially when connecting schools, neighborhoods, and business districts.",This treatment supports Safer Road Users by reducing the risk of side-swipe or turning crashes and helps provide Safer Roads by creating physical space separation.,"Cities and MPOs can proactively upgrade buffered or traditional lanes to separated bike lanes based on network planning, crash history, or community demand. Corridors with known safety concerns or low cyclist comfort ratings are strong candidates. This countermeasure may also be bundled with green pavement, intersection markings, and daylighting for comprehensive bike safety enhancement.",Pedestrian and Bicyclists,"Bicyclist, Crossing-related",Lack of dedicated space for bicyclists,Safe Road Users,Tier 2: Reduce Vehicle Speeds,Safer Vulnerable Users,Reduce bicycle crashes along roadways,Provide safe roadway facilities for parallel travel ,Not specified,xx,20,Moderate to High,Proven,Bike lane retrofit; vertical elements; separated bike lane; flexi-posts; safe cycling infrastructure; visual cue,73,treat107.jpg
treat119,Upgrade signs to flashing lights,All,0.21,0.23,All; Local; Minor Arterial,4,4,,,CMF485,CMF487,CMF483,Upgrading signs to flashing lights reduces crashes by enhancing visibility and driver awareness at high-risk or low-visibility locations.,"LED-enhanced stop signs
","Advance stop sign warning signs
",Rumble strips on approaches,"Agency maintenance personnel, DOT, Local enforcements ","1. Install at uncontrolled, marked crosswalks on multilane roads or locations with high pedestrian activity and insufficient gaps in traffic, as recommended by FHWA guidance.
2. Flashing signs are installed by attaching LED-enhanced sign units to existing or new signposts at appropriate heights and offsets, powered by solar panels or electrical connections. Installation should ensure clear visibility to approaching drivers, be free from obstructions, and be aligned per roadway geometry.","Using flashing signs supports the Safe System Approach by enhancing driver awareness and reducing speeds, aligning with the principles of safe roads, safe speeds, and safe road users.","Flashing beacons should be proactively installed at stop-controlled intersections where limited visibility, high approach speeds, or increasing crash trends indicate a need for enhanced driver alertness. Selection of appropriate sites should be based on detailed analysis of crash history, approach volumes, sight distance limitations, and field conditions to ensure the beacons effectively reduce the risk of stop sign violations and collisions.",Intersection,"Angle, Rear-end, Turning","Reduced visibility, driver inattention, failure to stop or yield",Safe Roads,Tier 4: Increase attentiveness and awareness,Improved Safety Management,Improve driver awareness of intersections as viewed from the intersection approach,Install flashing beacons at stop-controlled intersections,Minor Arterial,xx,5,Low,Current,Enhanced visibility; alert drivers; improve sign recognition; proactive warning,74,treat119.png
treat120,Improve visibility of signal heads,Urban,0.91,0.97,Not specified,4,4,,,CMF1432,CMF1431,CMF1433,The FHWA defines improving signal visibility as enhancing clarity with tools like backplates and placement to reduce crashes by ensuring timely driver response.,LED-enhanced signal lenses,"High-visibility signal backplates
",Advance warning flashing beacons,"Agency maintenance personnel, DOT, Active road users","1. Apply at signalized intersections with frequent red-light violations, visibility issues, or crash histories, especially in areas with complex backgrounds or poor lighting.
2. Install retroreflective backplates and ensure proper signal alignment, mounting height, and lateral positioning per MUTCD standards to maximize visibility and driver recognition.","Improving the visibility of signal heads supports the SSA by enhancing road design (Safe Roads) and helping all road users recognize and respond to signals (Safe Road Users). This reduces confusion, supports safer decision-making, and lowers the risk of intersection crashes.","To implement this countermeasure proactively, agencies should assess intersections with high nighttime traffic, frequent red-light running, or poor signal visibility. Evaluating site conditions and crash trends can help prioritize locations where enhanced signal conspicuity would prevent future incidents. Applying retroreflective backplates in advance of crashes offers a cost-effective way to boost driver awareness and intersection safety.",Intersection,"Angle, Rear-end, Turning","Reduced visibility, Driver inattention/distraction, Red light running",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve driver awareness of intersections and signal control,Improve visibility of signals and signs at intersections ,Not specified,xx,10,Low,Current,Signal compliance; driver perception; reduced violations,75,treat120.png
treat121,Replace standard stop sign with flashing LED stop sign,All,0.585,0.585,Not specified,4,4,,,CMF6602,CMF6602,,"Flashing LED STOP signs help to increase visibility, reduce accidents, and improve compliance with STOP sign rules.",Add High-Visibility Pavement Markings,"Increase intersection sight distance
",Improve Intersection Lighting,"State DOTs, Traffic Safety Engineers","1. Flashing LED STOP signs are best applied at intersections with high crash rates, low driver compliance, or where STOP signs are frequently missed due to visibility or driver distraction.
2. They are especially effective at rural or unsignalized intersections and locations where traditional STOP signs have proven insufficient in reducing crash occurrences.
3. These signs use embedded LED lights that flash to draw driver attention, particularly in low-light, adverse weather, or nighttime conditions.","Flashing LED STOP signs support the SSA by improving road design (Safe Roads) and enhancing driver awareness and decision-making (Safe Road Users) at critical intersections. This increases sign visibility, encourages better compliance.",LED STOP signs should be proactively installed at intersections with prior crash histories or observed issues with driver compliance. They are particularly suited for locations flagged during network screening as having potential for safety improvement. Installation during routine sign upgrades can keep implementation costs low while maximizing visibility and impact.,Intersection,"Angle, Rear-end, Turning","Reduced visibility, Driver inattention/distraction, Non-compliance",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve driver awareness of intersections as viewed from the intersection approach,Install flashing beacons at stop-controlled intersections,Not specified,25:1,5,Low,Current,Enhanced visibility; compliance; warning device; nighttime recognition,76,treat121.png
treat122,Widen paved shoulder from 4 ft to 6 ft,All,0.77,1.05,Not specified; Principal Arterial Interstate,4,4,,,CMF6287,CMF6279,CMF6290,"Wider paved shoulders on roadways can help reduce run-off road crashes, increase stability for vehicles, and improve maneuvering space for drivers.","Rumble strips on widened shoulders
","Guardrail upgrades 
",High-friction surface treatments,"State DOTs, Traffic Safety Analysts","1. Widen paved shoulders from 4 ft to 6 ft on high-speed, limited-access highways, especially along segments with high run-off-road crash frequencies or restricted recovery zones.
2. This provides additional recovery space for errant vehicles, improves lateral clearance for disabled vehicles or emergency stops, and offers increased space for maintenance activities.
3. Wider shoulders reduce crash rates and enhance operational safety by giving drivers more maneuvering room to recover from drift or distraction.",Wider shoulders support SSA by improving road design (Safe Roads) to provide recovery space for drivers who unintentionally leave the travel lane. This helps accommodate human mistakes (Safe Road Users) and reduces the severity of ROR crashes.,"Widening shoulders should be integrated during planned resurfacing, reconstruction, or capacity improvement projects on interstates and high-speed arterials. Agencies should prioritize segments with narrow shoulders, high-speed limits, or elevated single-vehicle crash rates. Research emphasized that modest increases in shoulder width provided measurable safety benefits and extended pavement life by reducing edge deterioration.",Roadway departure,Run-off-road,"Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Keep vehicles from encroaching on the roadside,Apply shoulder treatments (Widen and/or pave shoulders),Principal Arterial Interstate,1.2:1,20,Moderate,Current,Shoulder width; lateral clearance; maneuvering space; run-off recovery,77,treat122.jpg
